cgpa,internships,projects,workshops_certifications,aptitude_test_score,soft_skills_rating,extra_curricular_activities,placement_training,ssc_marks,hsc_marks,n_job_applications,personality_type,placement_status,student_id
7.79,1,1,0,77,4.96,No,No,53,66,4,2,0,10157
7.8,1,3,2,82,4.2,No,Yes,85,69,11,4,1,9880
6.5,2,1,1,76,4.8,Yes,No,74,69,8,2,0,3173
8.1,2,1,0,85,4.1,Yes,Yes,83,79,25,3,1,9551
7.5,1,2,0,79,4.4,Yes,No,62,69,20,2,0,7753
8.2,1,2,1,71,3.7,No,Yes,78,72,25,2,0,5507
6.5,2,3,2,84,4.6,Yes,Yes,69,83,18,2,0,4216
8.75,2,3,2,84,4.45,Yes,Yes,86,90,23,3,1,10096
7.9,2,3,3,81,4.4,Yes,No,90,81,10,2,1,9742
8.7,1,3,2,90,4.8,Yes,Yes,70,88,10,4,1,715
8.0,0,3,0,76,3.6,Yes,Yes,83,71,12,1,0,5767
7.3,0,1,2,74,4.0,No,No,69,73,14,1,0,7786
8.4,1,0,0,75,4.7,Yes,Yes,76,76,23,4,1,8399
8.3,2,3,0,90,4.6,Yes,Yes,78,70,20,3,1,1225
7.6,1,2,1,79,4.8,Yes,Yes,77,85,6,2,0,5432
6.7,1,2,1,76,4.6,Yes,Yes,71,68,7,2,0,8330
7.5,1,1,1,79,3.9,No,No,55,73,19,2,0,8251
7.8,2,2,2,81,4.8,Yes,Yes,74,88,29,2,1,1021
7.8,0,1,0,78,4.0,Yes,No,64,69,4,1,0,706
8.3,1,1,1,75,4.8,No,No,56,65,8,2,0,7693
7.3,0,1,1,75,3.2,No,Yes,56,63,12,1,0,5808
8.2,2,3,2,90,4.1,Yes,Yes,73,69,28,3,1,2555
8.8,2,2,2,77,3.9,Yes,No,87,81,3,2,0,4618
7.8,2,3,1,86,4.4,Yes,Yes,76,80,3,2,0,909
6.5,1,1,0,79,4.4,No,Yes,55,69,7,2,0,3017
8.2,2,3,1,90,4.7,Yes,Yes,79,85,27,3,1,5169
7.5,1,1,0,84,4.5,No,No,55,68,24,2,0,7932
6.5,0,1,1,64,4.5,Yes,Yes,70,87,15,1,0,3046
6.6,0,1,1,72,3.5,No,Yes,80,66,15,1,0,4773
7.8,1,1,0,85,4.5,Yes,Yes,70,65,28,2,0,595
7.7,1,1,0,72,4.1,No,No,61,68,14,2,0,9725
6.5,1,1,0,73,4.1,No,Yes,55,66,23,2,0,441
7.6,1,2,1,90,3.8,Yes,Yes,74,86,27,2,0,7090
6.6,1,2,1,80,4.1,Yes,Yes,58,64,4,2,0,4334
6.5,2,1,2,73,4.2,No,No,74,59,12,2,0,7029
8.3,2,3,2,90,4.8,Yes,Yes,82,88,21,3,1,11
8.1,1,3,0,88,4.0,No,Yes,81,87,13,4,1,8034
7.7,0,2,0,68,4.4,Yes,Yes,71,66,23,1,0,6750
6.5,0,1,0,76,4.0,No,No,58,67,10,1,0,6197
7.4,0,2,0,85,4.4,No,No,89,69,26,1,0,6632
7.4,1,3,0,83,4.2,No,Yes,65,82,9,2,0,94
7.9,2,3,2,89,4.8,Yes,Yes,61,82,17,2,1,3320
8.4,2,3,2,90,4.3,Yes,No,83,87,22,2,0,9708
8.2,1,2,0,75,4.5,Yes,Yes,55,62,30,4,1,3339
8.7,1,1,0,75,4.4,Yes,No,71,57,19,2,0,5071
8.4,1,2,2,84,4.7,Yes,Yes,76,71,25,2,0,8078
7.4,1,3,2,83,4.5,Yes,No,84,79,4,4,1,2408
7.5,0,1,1,80,4.2,Yes,No,84,64,10,1,0,293
6.5,1,1,1,78,4.0,No,No,65,65,6,2,0,789
8.2,1,3,1,88,3.9,No,No,79,68,7,2,0,4831
7.6,1,1,1,73,4.1,No,No,55,67,13,2,0,3255
8.1,1,3,2,85,4.8,No,Yes,55,73,21,4,1,6999
8.4,0,3,2,88,4.3,Yes,Yes,84,84,24,4,1,8186
8.2,0,1,1,79,4.3,Yes,Yes,57,68,7,1,0,1374
8.4,0,3,2,78,4.8,No,Yes,85,65,20,4,1,4682
7.4,1,2,1,76,4.3,No,Yes,77,71,29,2,0,1795
7.9,1,3,3,81,4.5,Yes,Yes,60,84,22,4,1,6787
7.7,1,2,1,74,4.8,Yes,Yes,70,66,9,2,0,6555
8.2,2,3,2,90,4.8,Yes,No,83,82,13,3,1,2134
7.0,1,2,0,89,4.1,Yes,No,70,68,6,2,0,3464
8.6,2,3,2,90,4.8,Yes,Yes,87,84,21,3,1,4899
7.8,1,3,1,80,4.2,No,Yes,71,87,15,2,0,3033
8.2,1,3,2,84,4.4,Yes,Yes,70,83,8,4,1,4727
8.3,1,2,2,90,4.8,Yes,Yes,70,88,25,4,1,2887
7.4,1,1,1,65,4.3,No,No,63,66,8,2,0,9126
8.7,1,3,2,90,4.8,Yes,Yes,68,81,26,4,1,8258
7.7,1,2,0,73,3.7,No,No,55,70,30,2,0,3774
7.5,1,2,1,85,4.8,No,Yes,61,84,16,2,0,7700
8.1,1,1,0,69,4.0,No,Yes,55,70,20,2,0,6454
7.3,1,1,0,68,4.4,No,No,57,61,15,2,0,4274
7.2,1,1,1,77,4.7,Yes,Yes,62,69,3,4,1,2184
8.2,1,1,1,68,3.7,Yes,No,68,62,9,2,0,3188
8.5,0,3,2,90,4.7,Yes,Yes,81,81,11,4,1,2817
8.5,1,3,2,90,4.3,Yes,Yes,72,87,3,4,1,3313
6.7,1,1,0,75,4.1,No,No,64,59,14,2,0,3106
7.8,1,1,1,77,4.5,No,No,56,68,16,2,0,5562
7.7,1,1,0,78,3.9,No,Yes,69,72,27,2,0,6514
7.4,1,1,1,69,3.9,No,No,55,66,21,2,0,8514
7.9,1,3,2,83,4.8,Yes,Yes,58,81,27,2,0,6536
7.7,1,1,2,85,4.7,Yes,Yes,80,82,15,2,0,838
6.5,1,1,1,75,3.6,No,Yes,60,64,28,2,0,5874
9.13,1,3,2,88,4.91,Yes,Yes,78,80,26,4,1,10175
7.6,1,1,0,74,3.8,No,No,56,67,12,2,0,6038
8.2,2,3,2,90,4.8,Yes,Yes,81,82,18,3,1,6965
8.2,2,3,2,90,4.4,Yes,Yes,73,85,13,3,1,9959
6.7,0,1,0,80,3.1,No,Yes,55,63,29,1,0,4863
8.7,2,3,2,90,4.8,Yes,Yes,88,84,26,3,1,6212
7.8,1,3,0,79,4.8,Yes,Yes,72,79,4,2,0,8962
7.22,1,1,1,63,2.98,No,Yes,53,63,31,2,0,10109
7.4,1,1,1,73,3.6,No,Yes,62,63,27,2,0,7368
7.7,2,3,1,85,4.2,Yes,Yes,74,82,16,2,0,8216
6.5,1,2,0,65,4.0,No,No,61,63,13,2,0,4002
6.5,2,2,0,79,4.1,Yes,No,57,64,4,2,0,6400
8.5,2,3,2,90,4.8,No,Yes,90,83,21,3,1,5459
7.8,1,2,0,73,4.5,Yes,No,79,61,18,2,0,6031
6.5,2,1,2,68,4.2,No,No,74,63,20,2,0,3626
8.5,1,3,2,89,4.0,Yes,Yes,68,74,4,2,0,6095
7.6,1,1,2,77,3.9,No,Yes,55,71,13,2,0,2406
6.9,1,2,0,70,4.3,No,No,55,71,22,4,1,3985
7.9,1,3,0,79,3.7,No,Yes,67,83,20,2,0,701
7.2,0,1,0,75,3.5,No,No,55,74,29,1,0,5614
7.7,1,1,0,74,4.3,Yes,Yes,82,64,12,2,0,1447
7.9,1,3,1,82,4.3,Yes,Yes,76,81,6,4,1,8010
8.1,2,3,2,90,4.6,Yes,No,74,84,16,3,1,9588
6.8,1,1,1,78,4.0,No,No,65,58,10,2,0,2089
8.1,2,3,2,89,4.8,Yes,Yes,89,71,19,2,0,6062
7.7,1,1,0,82,4.5,Yes,Yes,55,84,15,2,0,5708
8.7,2,3,2,79,4.4,Yes,Yes,78,80,27,3,1,8847
8.1,2,2,1,79,4.5,Yes,Yes,72,81,6,2,0,8502
7.6,1,2,1,73,3.9,No,No,81,64,19,2,0,6604
8.1,1,1,1,77,4.1,Yes,Yes,62,75,15,4,1,8027
6.5,0,1,0,66,3.8,No,No,55,62,16,1,0,7282
8.61,2,3,2,86,4.47,Yes,Yes,93,81,17,3,1,10164
8.2,2,3,2,80,4.0,Yes,Yes,78,83,11,3,1,9619
6.5,1,2,1,79,3.1,No,Yes,63,69,26,4,1,8325
6.5,1,1,1,83,4.2,No,No,58,76,12,2,0,8064
6.7,0,2,0,74,4.2,Yes,Yes,55,68,18,1,0,5869
8.4,2,3,2,90,4.5,Yes,Yes,78,84,12,2,0,9830
7.6,1,3,1,77,4.1,Yes,No,63,87,3,4,1,4721
8.5,2,3,2,82,4.7,Yes,Yes,75,88,19,3,1,4096
8.6,1,2,0,77,4.5,Yes,Yes,80,84,15,4,1,4872
8.8,2,3,2,90,4.8,Yes,Yes,84,88,21,3,1,3024
7.7,1,1,1,78,3.2,No,No,58,64,29,2,0,9669
8.2,2,1,0,87,4.8,Yes,Yes,74,85,16,3,1,9373
7.5,1,1,0,70,4.4,No,Yes,70,64,23,2,0,2109
8.5,2,3,0,87,4.6,Yes,Yes,86,85,12,3,1,8495
6.9,1,2,1,70,4.4,Yes,Yes,55,66,23,2,0,604
6.7,1,1,0,85,4.0,No,Yes,58,71,3,2,0,9140
7.7,2,3,2,90,4.8,Yes,Yes,84,88,8,2,0,6837
7.3,1,1,0,79,4.1,Yes,No,57,64,17,2,0,394
8.5,2,3,2,78,4.8,Yes,Yes,68,84,8,3,1,6647
7.5,1,3,1,84,4.6,No,No,81,62,9,2,0,8438
8.2,2,3,2,90,4.8,Yes,Yes,75,85,22,3,1,5033
8.6,2,3,2,83,4.8,Yes,No,55,67,23,2,0,4296
7.5,0,1,1,75,3.3,No,Yes,61,73,4,1,0,96
6.5,0,1,0,66,3.5,No,No,61,66,6,1,0,7095
8.1,0,2,3,72,3.2,Yes,Yes,73,83,10,4,1,2458
7.5,2,3,0,81,3.9,Yes,Yes,65,65,23,2,0,9114
6.6,1,1,1,72,4.3,No,No,63,74,10,2,0,4713
7.8,0,1,0,74,4.5,No,No,55,69,24,1,0,7335
8.0,1,1,0,76,3.93,Yes,No,70,69,14,2,0,10090
7.7,2,2,0,90,4.7,Yes,Yes,70,86,15,2,1,9197
7.3,1,1,1,77,3.8,No,Yes,68,69,26,2,0,3318
8.6,2,3,0,84,4.8,Yes,Yes,86,87,6,3,1,8617
8.6,2,3,2,90,4.8,Yes,Yes,72,86,27,3,1,7801
6.5,1,2,0,73,4.5,No,Yes,79,63,6,2,0,3080
7.7,0,3,1,68,4.4,Yes,No,62,62,7,1,0,3245
6.5,0,1,0,64,3.9,No,Yes,58,68,24,1,0,5095
7.6,1,3,1,79,3.9,Yes,Yes,70,85,27,4,1,6056
7.0,1,1,1,72,3.8,No,No,55,68,28,2,0,9734
8.3,1,2,0,78,4.6,Yes,Yes,75,82,7,4,1,8425
8.2,1,2,1,84,4.8,Yes,Yes,68,88,14,2,0,8028
6.8,1,2,1,75,4.0,No,Yes,62,76,28,2,0,7589
8.2,1,3,1,79,4.4,No,Yes,77,81,26,2,0,3847
8.3,1,2,1,80,4.3,Yes,Yes,71,84,23,4,1,8234
7.4,1,1,0,73,4.1,No,Yes,55,67,22,2,0,9824
7.7,2,3,1,88,4.3,No,Yes,56,83,28,2,0,2026
8.3,2,3,2,90,4.7,Yes,Yes,73,74,11,3,1,4827
8.1,1,3,2,88,4.8,Yes,Yes,80,82,24,2,0,6432
8.1,0,2,2,75,4.3,Yes,Yes,84,88,23,4,1,4951
7.8,1,3,0,81,4.5,Yes,Yes,79,72,6,4,1,2228
6.7,1,2,0,78,4.6,No,Yes,73,67,15,4,1,5839
8.6,1,3,2,82,4.8,Yes,Yes,85,86,27,4,1,2957
6.5,0,1,1,69,3.9,No,No,55,62,15,1,0,7640
7.4,1,2,0,70,4.4,No,Yes,58,63,13,2,0,20
8.3,1,3,2,74,4.7,Yes,Yes,78,84,30,2,0,2956
7.9,1,3,0,64,4.1,Yes,Yes,56,70,24,2,0,7210
7.2,1,1,0,61,3.5,No,No,55,69,6,2,0,6002
8.4,0,3,2,90,4.8,Yes,Yes,75,83,26,4,1,7249
7.3,1,1,1,68,3.3,No,Yes,55,67,24,2,0,2931
7.0,1,3,0,82,4.7,Yes,Yes,60,67,15,4,1,6388
7.7,2,3,2,90,4.8,Yes,Yes,70,86,18,2,0,1262
6.5,1,1,0,84,4.0,No,Yes,62,75,10,2,0,7221
7.5,1,1,1,80,3.8,No,No,58,67,18,2,0,810
7.4,0,1,0,79,4.0,No,Yes,55,66,4,1,0,5206
7.6,1,2,0,72,4.2,No,Yes,59,65,11,4,1,9074
8.2,1,3,2,90,4.3,Yes,Yes,77,87,9,4,1,6708
7.6,1,2,0,75,3.8,No,Yes,61,68,27,2,0,3998
8.3,2,3,2,90,4.8,Yes,Yes,78,84,18,3,1,9610
8.5,1,3,0,90,4.1,Yes,Yes,81,85,12,4,1,3280
8.4,1,1,2,76,4.6,Yes,Yes,74,85,26,2,0,7702
8.3,2,3,2,90,4.8,Yes,Yes,82,84,19,3,1,9929
7.5,1,3,0,86,4.4,Yes,Yes,73,83,29,4,1,1143
8.1,0,2,1,85,4.8,Yes,No,87,80,23,1,0,7220
8.0,1,2,1,83,4.0,Yes,Yes,75,68,6,4,1,2246
7.4,1,2,1,66,4.3,No,No,78,70,6,2,0,3038
7.5,1,1,0,60,3.7,No,Yes,55,60,19,2,0,3711
7.3,0,3,2,90,4.1,Yes,Yes,80,80,17,4,1,2610
6.5,1,3,1,71,4.0,Yes,Yes,77,73,10,2,0,9756
6.5,1,1,0,78,3.9,No,Yes,57,70,11,2,0,3071
6.8,1,1,1,60,4.4,No,Yes,62,66,10,2,0,1600
8.2,1,3,2,87,4.6,Yes,Yes,78,82,17,4,1,4254
8.6,0,3,0,86,4.5,Yes,No,70,83,23,1,0,8825
8.6,2,3,2,90,4.8,Yes,Yes,84,87,11,3,1,4318
7.3,0,1,0,78,3.6,No,No,56,70,12,1,0,8751
7.4,1,2,1,90,4.8,Yes,Yes,73,67,8,4,1,621
7.7,1,3,2,90,4.4,Yes,Yes,69,86,15,4,1,5427
7.6,0,1,0,66,4.0,No,No,61,69,7,1,0,5873
7.8,1,3,1,87,4.5,Yes,Yes,69,82,17,4,1,1409
8.0,2,3,1,87,4.3,Yes,No,70,84,21,2,0,6990
7.6,0,1,0,80,4.2,No,No,55,73,29,1,0,9527
6.5,0,3,0,80,4.4,Yes,Yes,63,68,7,1,0,4255
